	Longueur d'onde (nm)	Intensité	Numéro	Intensité normalisée
0	200.74900000000002	100	22	10.0
1	203.245	50	36	5.0
2	203.623	75	35	7.5
3	209.6	150	19	15.0
4	214.44099999999997	1000	1	100.0
5	215.50599999999997	50	37	5.0
6	218.77900000000002	100	23	10.0
7	219.456	1000	2	100.0
8	226.502	1000	3	100.0
9	231.27700000000002	1000	4	100.0
10	232.107	200	14	20.0
11	237.68200000000002	40	57	4.0
12	241.86900000000003	50	38	5.0
13	246.97299999999998	50	39	5.0
14	248.793	40	58	4.0
15	249.558	40	59	4.0
16	250.91099999999997	50	40	5.0
17	251.622	30	62	3.0
18	255.19799999999998	50	41	5.0
19	257.293	500	9	50.0
20	265.923	40	60	4.0
21	266.82	25	67	2.5
22	267.262	50	42	5.0
23	270.7	50	43	5.0
24	274.85400000000004	1000	5	100.0
25	282.319	30	63	3.0
26	285.64599999999996	25	68	2.5
27	291.467	200	15	20.0
28	292.78700000000003	50	44	5.0
29	292.927	200	16	20.0
30	303.06	50	45	5.0
31	308.14799999999997	25	69	2.5
32	309.23400000000004	100	24	10.0
33	314.67900000000003	50	46	5.0
34	325.033	150	20	15.0
35	334.32099999999997	50	47	5.0
36	338.54900000000004	50	48	5.0
37	338.88800000000003	30	64	3.0
38	341.749	50	49	5.0
39	344.24199999999996	50	50	5.0
40	346.44300000000004	100	25	10.0
41	348.30800000000005	25	70	2.5
42	349.54400000000004	150	21	15.0
43	352.411	100	26	10.0
44	353.569	100	27	10.0
45	402.912	100	28	10.0
46	413.477	200	17	20.0
47	414.149	50	51	5.0
48	428.50800000000004	100	29	10.0
49	441.241	100	30	10.0
50	441.56300000000005	1000	6	100.0
51	444.045	30	65	3.0
52	474.469	30	66	3.0
53	488.17199999999997	50	52	5.0
54	502.55	50	53	5.0
55	526.8009999999999	100	31	10.0
56	527.16	100	32	10.0
57	533.748	1000	7	100.0
58	537.813	1000	8	100.0
59	538.189	200	18	20.0
60	584.33	40	61	4.0
61	588.0219999999999	50	54	5.0
62	635.472	400	12	40.0
63	635.998	500	10	50.0
64	646.494	400	13	40.0
65	656.765	25	71	2.5
66	672.578	500	11	50.0
67	675.919	100	33	10.0
68	723.701	50	55	5.0
69	728.438	100	34	10.0
70	806.699	50	56	5.0
