	Longueur d'onde (nm)	Intensité	Numéro	Intensité normalisée
0	255.611	100	77	37.03703703703704
1	287.14	100	78	37.03703703703704
2	305.999	120	76	44.44444444444444
3	315.349	140	65	51.851851851851855
4	320.276	170	30	62.96296296296296
5	326.408	140	66	51.851851851851855
6	341.465	140	67	51.851851851851855
7	341.645	150	59	55.55555555555556
8	341.68	140	68	51.851851851851855
9	341.7	160	44	59.25925925925926
10	347.296	160	45	59.25925925925926
11	347.331	150	60	55.55555555555556
12	347.478	170	31	62.96296296296296
13	350.139	190	16	70.37037037037037
14	350.145	200	9	74.07407407407408
15	350.157	200	10	74.07407407407408
16	350.284	180	21	66.66666666666667
17	350.296	200	11	74.07407407407408
18	350.311	210	8	77.77777777777777
19	350.537	170	32	62.96296296296296
20	350.552	200	12	74.07407407407408
21	350.563	220	6	81.48148148148148
22	352.289	160	46	59.25925925925926
23	353.687	150	61	55.55555555555556
24	354.177	160	47	59.25925925925926
25	359.052	160	48	59.25925925925926
26	359.869	170	33	62.96296296296296
27	360.139	180	22	66.66666666666667
28	360.284	190	17	70.37037037037037
29	370.453	180	23	66.66666666666667
30	371.035	160	49	59.25925925925926
31	373.957	160	50	59.25925925925926
32	380.583	140	69	51.851851851851855
33	384.709	270	1	100.0
34	384.999	260	2	96.29629629629629
35	385.167	250	3	92.5925925925926
36	389.883	190	18	70.37037037037037
37	390.193	180	24	66.66666666666667
38	390.382	170	34	62.96296296296296
39	397.204	150	62	55.55555555555556
40	397.267	160	51	59.25925925925926
41	397.478	170	35	62.96296296296296
42	402.473	240	4	88.88888888888889
43	402.501	220	7	81.48148148148148
44	402.549	230	5	85.18518518518519
45	408.391	160	52	59.25925925925926
46	410.307	190	19	70.37037037037037
47	410.322	170	36	62.96296296296296
48	410.351	200	13	74.07407407407408
49	410.371	180	25	66.66666666666667
50	410.387	170	37	62.96296296296296
51	410.916	170	38	62.96296296296296
52	411.654	160	53	59.25925925925926
53	411.921	150	63	55.55555555555556
54	420.715	140	70	51.851851851851855
55	422.516	170	28	62.96296296296296
56	424.412	150	58	55.55555555555556
57	424.623	200	14	74.07407407407408
58	424.639	190	20	70.37037037037037
59	424.659	180	26	66.66666666666667
60	424.677	170	39	62.96296296296296
61	424.684	160	54	59.25925925925926
62	427.536	170	29	62.96296296296296
63	427.753	160	42	59.25925925925926
64	427.893	160	43	59.25925925925926
65	429.917	200	15	74.07407407407408
66	444.653	160	55	59.25925925925926
67	444.672	170	40	62.96296296296296
68	444.719	180	27	66.66666666666667
69	473.438	140	71	51.851851851851855
70	485.939	170	41	62.96296296296296
71	493.326	160	56	59.25925925925926
72	500.2	140	72	51.851851851851855
73	517.325	150	64	55.55555555555556
74	558.927	160	57	59.25925925925926
75	624.79	140	73	51.851851851851855
76	717.99	130	75	48.148148148148145
77	721.179	130	74	48.148148148148145
78	801.601	80	80	29.62962962962963
79	1004.80	80	79	29.62962962962963
