	Longueur d'onde (nm)	Intensité	Numéro	Intensité normalisée	Qualité
0	200.7039	50	29	5.0	
1	216.965	1	85	0.1	
2	217.3204	10	59	1.0	
3	217.7655	15	54	1.5	
4	219.7621	100	14	10.0	
5	220.5851	100	15	10.0	
6	237.5136	2	81	0.2	
7	238.1918	3	78	0.3	
8	240.2504	5	70	0.5	
9	244.8678	3	79	0.3	
10	245.7881	5	71	0.5	
11	247.8659	100	16	10.0	
12	250.0536	500	6	50.0	
13	250.0955	5	72	0.5	
14	252.9837	20	43	2.0	
15	255.3071	20	44	2.0	
16	257.3785	5	73	0.5	
17	258.0491	5	74	0.5	
18	259.0221	10	60	1.0	
19	259.4102	10	61	1.0	
20	260.601	15	55	1.5	
21	270.40242	200	10	20.0	
22	272.97702	400	8	40.0	
23	273.0591	20	45	2.0	
24	275.9409	10	62	1.0	
25	277.05856	50	30	5.0	
26	277.23441	75	23	7.5	
27	280.5666	20	46	2.0	
28	281.0568	2	82	0.2	
29	281.41	10	63	1.0	
30	282.4508	20	47	2.0	
31	283.18432	1000	1	100.0	
32	283.4279	50	31	5.0	
33	283.9679	75	24	7.5	
34	284.5475	5	75	0.5	
35	284.55273	1000	2	100.0	
36	285.397	75	25	7.5	
37	318.67147	50	32	5.0	
38	322.16393	100	17	10.0	
39	322.36706	5	76	0.5	
40	327.6016	2	83	0.2	
41	328.0837	2	84	0.2	
42	330.4341	10	64	1.0	
43	331.2563	50	33	5.0	
44	332.3644	75	26	7.5	
45	336.962	20	48	2.0	
46	338.9782	40	39	4.0	
47	345.5716	100	18	10.0	
48	349.9211	300	9	30.0	
49	384.5106	30	40	3.0	
50	439.1654	15	56	1.5	
51	439.179	10	65	1.0	
52	466.231	10	66	1.0	
53	467.1273	30	41	3.0	
54	468.9871	75	27	7.5	
55	469.0023	50	34	5.0	
56	474.18056	1000	3	100.0	D
57	481.46084	1000	4	100.0	D
58	482.40973	50	35	5.0	D
59	489.8737	3	80	0.3	
60	493.40757	10	67	1.0	
61	494.12768	20	49	2.0	
62	513.17517	100	19	10.0	D
63	517.846	10	68	1.0	D
64	517.86475	200	11	20.0	D
65	518.4103	5	77	0.5	
66	519.5219	10	69	1.0	
67	520.56488	20	50	2.0	
68	520.58371	15	57	1.5	
69	552.2989	15	58	1.5	
70	589.33886	1000	5	100.0	D
71	602.10414	500	7	50.0	D
72	607.8394	150	12	15.0	
73	626.7141	50	36	5.0	
74	626.8066	150	13	15.0	
75	626.8344	100	20	10.0	
76	628.34519	75	28	7.5	
77	633.63766	100	21	10.0	D
78	648.41812	100	22	10.0	D
79	678.051	50	37	5.0	
80	696.63209	20	51	2.0	
81	704.93694	50	38	5.0	
82	714.53899	30	42	3.0	
83	947.49926	20	52	2.0	
84	947.56454	20	53	2.0	
