	Longueur d'onde (nm)	Intensité	Numéro	Intensité normalisée	Qualité
0	200.812	140	253	0.18421052631578946	
1	203.979	330	154	0.4342105263157895	D+
2	204.081	210	206	0.27631578947368424	
3	204.081	210	207	0.27631578947368424	
4	205.476	210	208	0.27631578947368424	
5	205.572	400	131	0.5263157894736842	
6	207.857182	76000	1	100.0	B
7	208.03	330	155	0.4342105263157895	
8	208.151	300	168	0.39473684210526316	
9	210.3891	1700	35	2.236842105263158	E
10	210.51	190	215	0.25	
11	210.51	190	216	0.25	
12	213.564	160	235	0.21052631578947367	E
13	213.915	540	96	0.7105263157894737	
14	214.168	170	225	0.2236842105263158	
15	216.6876	990	66	1.3026315789473684	D+
16	216.9548	560	92	0.7368421052631579	D+
17	219.265	70	355	0.09210526315789473	D+
18	219.5668	450	119	0.5921052631578947	
19	219.727	97	314	0.12763157894736843	
20	220.219	130	263	0.17105263157894737	
21	220.267	74	349	0.09736842105263158	D+
22	220.327	80	338	0.10526315789473684	D+
23	220.5279	1000	61	1.3157894736842106	D+
24	220.672	440	125	0.5789473684210527	
25	224.531	170	226	0.2236842105263158	D+
26	224.8318	110	283	0.14473684210526316	
27	224.961	150	245	0.19736842105263158	D+
28	224.961	150	246	0.19736842105263158	D+
29	225.5787	300	169	0.39473684210526316	D+
30	225.614	43	406	0.056578947368421055	D+
31	226.829	48	393	0.06315789473684211	
32	226.968	100	302	0.13157894736842105	
33	228.164	330	156	0.4342105263157895	
34	228.7395	130	264	0.17105263157894737	
35	229.315	35	421	0.046052631578947366	
36	229.485	25	449	0.03289473684210526	
37	229.772	48	394	0.06315789473684211	
38	230.529	360	140	0.47368421052631576	
39	230.606448	19000	3	25.0	B+
40	231.3217	540	97	0.7105263157894737	E
41	231.442	65	368	0.08552631578947369	
42	231.9154	290	173	0.3815789473684211	E
43	232.3387	150	247	0.19736842105263158	D+
44	232.6491	67	359	0.0881578947368421	
45	232.7949	290	174	0.3815789473684211	D+
46	233.457	320	161	0.42105263157894735	D+
47	234.349	310	165	0.40789473684210525	
48	234.387	89	325	0.11710526315789474	
49	234.3997	28	439	0.03684210526315789	
50	235.07432	2800	23	3.6842105263157894	D
51	235.567	110	284	0.14473684210526316	
52	235.6108	230	192	0.3026315789473684	
53	235.688	150	248	0.19736842105263158	
54	235.688	150	249	0.19736842105263158	
55	236.3037	34	423	0.04473684210526316	
56	236.5721	54	381	0.07105263157894737	
57	236.7009	31	435	0.04078947368421053	D+
58	237.059	580	87	0.7631578947368421	E
59	237.263	43	407	0.056578947368421055	E
60	237.2904	76	343	0.1	
61	237.3039	76	344	0.1	
62	237.373	220	200	0.2894736842105263	
63	237.48	100	303	0.13157894736842105	
64	237.596	130	265	0.17105263157894737	E
65	237.6655	100	304	0.13157894736842105	
66	237.7085	64	370	0.08421052631578947	D+
67	238.263	4800	14	6.315789473684211	C+
