	Longueur d'onde (nm)	Intensité	Numéro	Intensité normalisée
0	233.688	3	22	0.5
1	233.69099999999997	5	12	0.8333333333333334
2	233.7	2	28	0.3333333333333333
3	255.17	24	3	4.0
4	265.72900000000004	2	29	0.3333333333333333
5	265.73	3	23	0.5
6	272.829	5	10	0.8333333333333334
7	272.832	2	30	0.3333333333333333
8	273.047	3	24	0.5
9	273.055	1	36	0.16666666666666666
10	293.402	2	31	0.3333333333333333
11	293.407	2	32	0.3333333333333333
12	293.41200000000003	5	13	0.8333333333333334
13	293.425	1	37	0.16666666666666666
14	302.91200000000003	3	21	0.5
15	302.914	3	25	0.5
16	315.531	3	26	0.5
17	315.533	4	17	0.6666666666666666
18	319.626	1	35	0.16666666666666666
19	319.633	9	5	1.5
20	319.63599999999997	4	18	0.6666666666666666
21	319.933	5	14	0.8333333333333334
22	319.943	2	33	0.3333333333333333
23	371.4	1	38	0.16666666666666666
24	371.416	5	15	0.8333333333333334
25	371.42699999999996	6	8	1.0
26	371.42900000000003	8	6	1.3333333333333333
27	371.44	7	7	1.1666666666666667
28	371.441	10	4	1.6666666666666667
29	371.45099999999996	1	39	0.16666666666666666
30	432.542	5	11	0.8333333333333334
31	432.54699999999997	5	16	0.8333333333333334
32	432.55400000000003	1	40	0.16666666666666666
33	467.165	6	9	1.0
34	467.17	2	34	0.3333333333333333
35	467.806	3	27	0.5
36	467.829	1	41	0.16666666666666666
37	488.13199999999995	4	19	0.6666666666666666
38	488.139	4	20	0.6666666666666666
39	488.149	1	42	0.16666666666666666
40	548.355	600	1	100.0
41	548.565	600	2	100.0
