	Longueur d'onde (nm)	Intensité	Numéro	Intensité normalisée
0	232.9578	3	75	21.428571428571427
1	244.959	6	54	42.857142857142854
2	266.0755	8	32	57.142857142857146
3	266.0817	8	33	57.142857142857146
4	279.0776	9	25	64.28571428571429
5	279.5528	13	3	92.85714285714286
6	279.7998	10	16	71.42857142857143
7	280.2704	12	7	85.71428571428571
8	292.8634	9	26	64.28571428571429
9	293.6509	10	17	71.42857142857143
10	296.802	2	86	14.285714285714286
11	296.9145	1	91	7.142857142857143
12	297.1839	2	87	14.285714285714286
13	310.4722	9	27	64.28571428571429
14	310.4809	8	34	57.142857142857146
15	316.5878	3	76	21.428571428571427
16	316.8951	6	56	42.857142857142854
17	317.2706	6	57	42.857142857142854
18	317.5783	7	45	50.0
19	353.4972	7	46	50.0
20	353.8813	8	35	57.142857142857146
21	354.9516	7	47	50.0
22	355.3366	8	36	57.142857142857146
23	361.3781	4	69	28.571428571428573
24	361.5583	3	77	21.428571428571427
25	384.8209	8	37	57.142857142857146
26	384.8335	5	61	35.714285714285715
27	385.0385	7	48	50.0
28	419.3482	2	83	14.285714285714286
29	424.2445	3	78	21.428571428571427
30	424.2543	2	88	14.285714285714286
31	433.1945	4	66	28.571428571428573
32	438.4637	9	28	64.28571428571429
33	439.0564	10	18	71.42857142857143
34	442.7994	8	38	57.142857142857146
35	443.399	9	29	64.28571428571429
36	443.6486	5	62	35.714285714285715
37	443.6598	4	70	28.571428571428573
38	448.11300000000006	14	1	100.0
39	448.1327	13	4	92.85714285714286
40	453.4291	6	55	42.857142857142854
41	463.0878	2	89	14.285714285714286
42	463.1405	1	92	7.142857142857143
43	473.9588	6	58	42.857142857142854
44	473.9712	5	63	35.714285714285715
45	485.1082	7	43	50.0
46	486.8845	2	84	14.285714285714286
47	506.8937	4	71	28.571428571428573
48	506.9802	3	79	21.428571428571427
49	526.4215	8	39	57.142857142857146
50	526.4368	7	49	50.0
51	540.1543	9	24	64.28571428571429
52	543.4039	4	67	28.571428571428573
53	545.1259	1	93	7.142857142857143
54	546.0019	1	94	7.142857142857143
55	546.4136	2	90	14.285714285714286
56	591.6429	7	50	50.0
57	591.8158	6	59	42.857142857142854
58	592.3366	3	80	21.428571428571427
59	592.8233	4	72	28.571428571428573
60	593.8629	3	81	21.428571428571427
61	594.3499	4	73	28.571428571428573
62	634.6737	10	19	71.42857142857143
63	634.6962	9	30	64.28571428571429
64	654.5973	11	10	78.57142857142857
65	662.044	5	64	35.714285714285715
66	662.0569	6	60	42.857142857142854
67	678.1451	7	51	50.0
68	678.7851	8	40	57.142857142857146
69	681.2860000000001	7	52	50.0
70	681.927	8	41	57.142857142857146
71	716.6676	2	85	14.285714285714286
72	758.0764	4	68	28.571428571428573
73	758.9558	3	82	21.428571428571427
74	778.65	5	65	35.714285714285715
75	779.0978	4	74	28.571428571428573
76	787.7051	12	8	85.71428571428571
77	789.6368	13	5	92.85714285714286
78	811.5219999999999	9	31	64.28571428571429
79	812.0434	8	42	57.142857142857146
80	821.3989	10	20	71.42857142857143
81	822.2924	7	44	50.0
82	823.3194	7	53	50.0
83	823.4639	11	11	78.57142857142857
84	873.4989999999999	10	21	71.42857142857143
85	874.5657	11	12	78.57142857142857
86	882.4323	10	22	71.42857142857143
87	883.5082	11	13	78.57142857142857
88	921.8248	14	2	100.0
89	924.4266	13	6	92.85714285714286
90	932.7545	10	15	71.42857142857143
91	934.0544	10	23	71.42857142857143
92	963.1888	12	9	85.71428571428571
93	963.2435	11	14	78.57142857142857
