	Longueur d'onde (nm)	Intensité	Numéro	Intensité normalisée	Qualité
0	201.511	19000	3	47.5	
1	202.03	40000	1	100.0	
2	203.844	21000	2	52.5	
3	204.598	17000	4	42.5	
4	208.168	4800	5	12.0	
5	208.952	2400	8	6.0	
6	209.25	2200	9	5.5	
7	209.311	4000	6	10.0	
8	210.084	2700	7	6.75	
9	210.429	1500	14	3.75	
10	210.802	1400	15	3.5	
11	226.969	400	34	1.0	
12	230.425	160	70	0.4	
13	230.697	160	71	0.4	
14	233.212	110	87	0.275	
15	234.159	190	62	0.475	
16	235.542	80	109	0.2	
17	236.609	50	154	0.125	
18	238.92	110	88	0.275	
19	240.361	140	77	0.35	
20	240.466	80	110	0.2	
21	241.284	40	170	0.1	
22	241.301	120	84	0.3	
23	241.796	80	111	0.2	
24	241.901	65	130	0.1625	
25	242.018	80	112	0.2	
26	242.4	70	122	0.175	
27	243.596	65	131	0.1625	
28	244.028	65	132	0.1625	
29	246.181	40	171	0.1	
30	246.668	50	155	0.125	
31	246.697	50	156	0.125	
32	246.878	50	157	0.125	
33	247.004	30	193	0.075	
34	247.757	70	123	0.175	
35	248.257	65	133	0.1625	
36	248.475	40	172	0.1	
37	249.624	24	203	0.06	
38	249.828	85	104	0.2125	
39	250.044	40	173	0.1	
40	250.284	65	134	0.1625	
41	251.18	50	158	0.125	
42	251.508	65	135	0.1625	
43	252.714	70	124	0.175	
44	253.034	50	159	0.125	
45	253.231	70	125	0.175	
46	253.846	440	33	1.1	
47	253.944	50	160	0.125	
48	254.267	330	40	0.825	
49	254.361	40	174	0.1	
50	255.542	65	136	0.1625	
51	255.675	40	175	0.1	
52	255.888	80	113	0.2	
53	256.208	65	137	0.1625	
54	256.434	85	105	0.2125	
55	256.626	40	176	0.1	
56	257.145	20	207	0.05	
57	257.442	50	161	0.125	
58	257.656	40	177	0.1	
59	257.836	40	178	0.1	
60	258.595	30	194	0.075	
61	258.878	65	138	0.1625	
62	259.177	40	179	0.1	
63	259.37	250	48	0.625	
64	259.738	40	180	0.1	
65	260.28	250	49	0.625	
66	260.508	40	181	0.1	
67	260.593	40	182	0.1	
68	261.934	70	126	0.175	
69	263.667	330	41	0.825	
70	263.876	720	24	1.8	
71	264.435	600	28	1.5	
72	264.649	370	37	0.925	
73	265.335	480	31	1.2	
74	266.058	640	26	1.6	
75	267.183	55	147	0.1375	
76	267.284	720	25	1.8	
77	267.327	250	50	0.625	
78	268.136	95	94	0.2375	
79	268.323	640	27	1.6	
80	268.414	880	21	2.2	
81	268.799	560	30	1.4	
82	269.261	30	195	0.075	
83	269.522	55	148	0.1375	
84	269.683	30	196	0.075	
85	269.941	55	149	0.1375	
86	270.142	480	32	1.2	
87	270.187	30	197	0.075	
88	270.493	30	198	0.075	
89	271.019	40	183	0.1	
90	271.149	30	199	0.075	
91	271.235	50	162	0.125	
92	271.351	190	63	0.475	
93	271.735	290	43	0.725	
94	272.697	85	106	0.2125	
95	272.968	140	78	0.35	
96	273.02	80	114	0.2	
97	273.288	330	42	0.825	
98	273.696	160	72	0.4	
99	273.788	80	115	0.2	
100	273.86	50	163	0.125	
101	274.132	40	184	0.1	
102	274.162	55	150	0.1375	
103	274.63	290	44	0.725	
104	275.607	110	89	0.275	
105	275.863	65	139	0.1625	
106	276.053	20	208	0.05	
107	276.362	220	56	0.55	
108	276.976	240	54	0.6	
109	277.378	160	73	0.4	
110	277.439	190	64	0.475	
111	277.54	1700	10	4.25	
112	277.786	65	140	0.1625	
113	278.004	880	22	2.2	
114	278.499	400	35	1.0	
115	279.154	40	185	0.1	
116	280.776	400	36	1.0	
117	281.258	28	201	0.07	
118	281.467	24	204	0.06	
119	281.615	1700	11	4.25	
120	281.744	220	57	0.55	
121	282.203	50	164	0.125	
122	282.774	80	116	0.2	
123	283.144	40	186	0.1	
124	283.207	30	200	0.075	
125	283.439	80	117	0.2	
126	283.533	80	118	0.2	
127	284.215	160	74	0.4	
128	284.373	24	205	0.06	
129	284.823	1700	12	4.25	
130	285.323	370	38	0.925	
131	285.6	50	165	0.125	
132	286.32	24	206	0.06	
133	286.381	370	39	0.925	
134	286.562	40	187	0.1	
135	286.669	220	58	0.55	
136	286.811	40	188	0.1	
137	286.832	40	189	0.1	
138	287.151	1700	13	4.25	
139	287.288	85	107	0.2125	
140	287.905	220	59	0.55	
141	288.815	65	141	0.1625	
142	289.099	1300	16	3.25	
143	289.128	95	95	0.2375	
144	289.281	190	65	0.475	
145	289.445	950	20	2.375	
146	289.763	140	79	0.35	
147	290.08	70	127	0.175	
148	290.307	290	45	0.725	
149	290.712	80	119	0.2	
150	290.912	600	29	1.5	
151	291.192	1100	18	2.75	
152	291.381	55	151	0.1375	
153	291.883	120	85	0.3	
154	292.339	1300	17	3.25	
155	292.432	140	80	0.35	
156	292.754	65	142	0.1625	
157	293.006	50	166	0.125	
158	293.05	1100	19	2.75	
159	293.077	55	152	0.1375	
160	293.43	800	23	2.0	
161	293.52	65	143	0.1625	
162	293.83	40	190	0.1	
163	294.01	95	96	0.2375	
164	294.122	110	90	0.275	
165	294.482	150	76	0.375	
166	294.669	140	81	0.35	
167	294.728	95	97	0.2375	
168	295.584	95	98	0.2375	
169	295.606	240	55	0.6	
170	295.69	70	128	0.175	
171	296.024	95	99	0.2375	
172	296.379	250	51	0.625	
173	296.496	50	167	0.125	
174	296.527	210	61	0.525	
175	297.191	70	129	0.175	
176	297.261	250	52	0.625	
177	297.54	80	120	0.2	
178	299.284	95	100	0.2375	
179	299.352	50	168	0.125	
180	300.446	40	191	0.1	
181	302.777	95	101	0.2375	
182	306.078	100	92	0.25	
183	306.504	250	53	0.625	
184	307.766	85	108	0.2125	
185	308.762	270	47	0.675	
186	309.207	190	66	0.475	
187	312.2	290	46	0.725	
188	313.872	110	91	0.275	
189	315.282	220	60	0.55	
190	315.564	55	153	0.1375	
191	317.203	95	102	0.2375	
192	317.274	160	75	0.4	
193	318.759	120	86	0.3	
194	320.15	40	192	0.1	
195	324.071	65	144	0.1625	
196	329.231	190	67	0.475	
197	331.362	100	93	0.25	
198	332.09	190	68	0.475	
199	334.64	95	103	0.2375	
200	339.536	130	82	0.325	
201	344.608	130	83	0.325	
202	363.514	28	202	0.07	
203	368.422	45	169	0.1125	
204	368.831	65	145	0.1625	
205	369.264	180	69	0.45	
206	374.437	80	121	0.2	
207	394.148	65	146	0.1625	
