	Longueur d'onde (nm)	Intensité	Numéro	Intensité normalisée
0	216.555	1000	12	16.666666666666668
1	216.91	2000	6	33.333333333333336
2	217.467	2000	7	33.333333333333336
3	217.515	1500	11	25.0
4	217.709	500	29	8.333333333333334
5	217.736	400	53	6.666666666666667
6	217.935	400	54	6.666666666666667
7	218.047	800	20	13.333333333333334
8	218.46	800	21	13.333333333333334
9	218.55	2500	5	41.666666666666664
10	219.209	3000	4	50.0
11	220.141	600	26	10.0
12	220.555	5000	2	83.33333333333333
13	220.672	4000	3	66.66666666666667
14	221.648	6000	1	100.0
15	222.04	800	22	13.333333333333334
16	222.106	500	30	8.333333333333334
17	222.296	900	19	15.0
18	224.268	500	31	8.333333333333334
19	225.385	500	32	8.333333333333334
20	226.446	1000	13	16.666666666666668
21	227.021	2000	8	33.333333333333336
22	227.72799999999998	800	23	13.333333333333334
23	227.832	400	55	6.666666666666667
24	227.877	800	24	13.333333333333334
25	228.765	500	33	8.333333333333334
26	229.655	400	56	6.666666666666667
27	229.71400000000003	400	57	6.666666666666667
28	230.3	1000	14	16.666666666666668
29	231.604	1000	15	16.666666666666668
30	231.975	500	34	8.333333333333334
31	233.458	500	35	8.333333333333334
32	234.12	500	36	8.333333333333334
33	237.542	1000	16	16.666666666666668
34	239.452	1000	17	16.666666666666668
35	241.613	2000	9	33.333333333333336
36	243.78900000000002	500	37	8.333333333333334
37	251.08700000000002	500	38	8.333333333333334
38	256.592	500	39	8.333333333333334
39	260.626	500	40	8.333333333333334
40	260.994	500	41	8.333333333333334
41	261.506	500	42	8.333333333333334
42	286.402	500	43	8.333333333333334
43	329.287	400	58	6.666666666666667
44	329.76	500	44	8.333333333333334
45	330.57099999999997	400	59	6.666666666666667
46	333.18800000000005	2000	10	33.333333333333336
47	333.564	400	60	6.666666666666667
48	333.809	500	45	8.333333333333334
49	334.884	500	46	8.333333333333334
50	334.92400000000004	500	47	8.333333333333334
51	335.86800000000005	600	27	10.0
52	336.345	500	48	8.333333333333334
53	337.897	500	49	8.333333333333334
54	340.105	500	50	8.333333333333334
55	499.202	500	51	8.333333333333334
56	809.675	1000	18	16.666666666666668
57	811.421	500	52	8.333333333333334
58	812.148	700	25	11.666666666666666
59	990.092	500	28	8.333333333333334
