	Longueur d'onde (nm)	Intensité	Numéro	Intensité normalisée
0	201.6589	10	285	33.333333333333336
1	202.034	12	200	40.0
2	202.1445	10	286	33.333333333333336
3	202.2768	10	287	33.333333333333336
4	202.3332	10	288	33.333333333333336
5	202.374	12	196	40.0
6	202.5694	5	540	16.666666666666668
7	202.7103	10	289	33.333333333333336
8	202.7603	10	290	33.333333333333336
9	207.22	12	197	40.0
10	207.2601	5	541	16.666666666666668
11	207.4104	8	374	26.666666666666668
12	207.5058	8	375	26.666666666666668
13	207.5169	12	201	40.0
14	209.2876	10	291	33.333333333333336
15	209.988	8	376	26.666666666666668
16	210.0069	7	419	23.333333333333332
17	210.0664	8	377	26.666666666666668
18	210.1283	12	202	40.0
19	210.2325	6	483	20.0
20	210.4133	6	484	20.0
21	212.3202	8	378	26.666666666666668
22	213.1818	12	203	40.0
23	213.1997	10	292	33.333333333333336
24	214.8222	1	720	3.3333333333333335
25	218.258	4	592	13.333333333333334
26	219.0481	4	593	13.333333333333334
27	219.5464	3	647	10.0
28	221.5701	1	722	3.3333333333333335
29	221.8679	1	723	3.3333333333333335
30	224.9719	1	724	3.3333333333333335
31	225.2746	7	425	23.333333333333332
32	225.9625	3	648	10.0
33	226.2685	1	725	3.3333333333333335
34	228.3447	8	379	26.666666666666668
35	228.4836	9	327	30.0
36	229.0839	14	141	46.666666666666664
37	229.3301	15	106	50.0
38	230.0331	17	66	56.666666666666664
39	230.2808	14	142	46.666666666666664
40	230.7721	5	538	16.666666666666668
41	231.3077	8	368	26.666666666666668
42	231.6139	9	328	30.0
43	231.6765	9	320	30.0
44	231.9687	11	241	36.666666666666664
45	232.2142	9	329	30.0
46	232.4797	3	649	10.0
47	232.5918	6	485	20.0
48	232.7938	7	426	23.333333333333332
49	233.9302	6	486	20.0
50	236.5138	9	330	30.0
51	237.5731	11	242	36.666666666666664
52	239.8902	2	689	6.666666666666667
53	239.9189	7	427	23.333333333333332
54	240.2356	3	650	10.0
55	240.6391	14	143	46.666666666666664
56	240.747	13	174	43.333333333333336
57	241.1622	7	420	23.333333333333332
58	241.5121	6	487	20.0
59	241.8459	14	144	46.666666666666664
60	242.5564	15	107	50.0
61	243.1652	5	542	16.666666666666668
62	243.3534	20	28	66.66666666666667
63	243.5189	2	690	6.666666666666667
64	243.6051	14	145	46.666666666666664
65	243.8066	2	691	6.666666666666667
66	244.1626	8	380	26.666666666666668
67	244.4248	16	91	53.333333333333336
68	244.5538	22	14	73.33333333333333
69	251.7974	12	204	40.0
70	252.3212	7	428	23.333333333333332
71	252.6869	11	243	36.666666666666664
72	253.0274	13	175	43.333333333333336
73	257.1454	11	244	36.666666666666664
74	257.5271	13	176	43.333333333333336
75	271.5365	8	381	26.666666666666668
76	271.8828	6	488	20.0
77	273.3289	17	67	56.666666666666664
78	274.7367	15	108	50.0
79	278.3026	6	489	20.0
80	278.9934	2	692	6.666666666666667
81	279.6644	3	643	10.0
82	280.3101	1	726	3.3333333333333335
83	280.8729	8	382	26.666666666666668
84	283.622	7	429	23.333333333333332
85	288.4214	9	331	30.0
86	288.4778	4	594	13.333333333333334
87	288.7964	5	537	16.666666666666668
88	289.1289	6	490	20.0
89	289.1684	7	430	23.333333333333332
90	289.2306	3	644	10.0
91	289.751	8	383	26.666666666666668
92	290.0267	7	431	23.333333333333332
93	290.4245	8	384	26.666666666666668
94	290.501	8	385	26.666666666666668
95	290.6553	13	177	43.333333333333336
96	290.8643	6	491	20.0
97	290.8781	3	651	10.0
98	291.113	8	386	26.666666666666668
99	291.1769	11	245	36.666666666666664
100	291.5243	2	693	6.666666666666667
101	291.5578	8	387	26.666666666666668
102	296.4169	3	652	10.0
103	296.6098	4	595	13.333333333333334
104	297.2769	4	596	13.333333333333334
105	297.9049	5	543	16.666666666666668
106	298.0449	3	653	10.0
107	299.0673	4	597	13.333333333333334
108	299.5871	7	416	23.333333333333332
109	300.1696	5	544	16.666666666666668
110	300.2977	8	388	26.666666666666668
111	300.5958	10	293	33.333333333333336
112	300.5958	10	294	33.333333333333336
113	300.6565	5	545	16.666666666666668
114	300.7035	14	139	46.666666666666664
115	300.7681	7	421	23.333333333333332
116	300.7681	7	422	23.333333333333332
117	300.8318	9	332	30.0
118	300.957	7	432	23.333333333333332
119	301.1534	9	321	30.0
120	301.2825	8	369	26.666666666666668
121	301.3357	11	246	36.666666666666664
122	301.4158	7	433	23.333333333333332
123	301.4469	8	389	26.666666666666668
124	301.5974	7	434	23.333333333333332
125	302.0173	5	546	16.666666666666668
126	302.5218	7	435	23.333333333333332
127	302.5705	9	333	30.0
128	302.6383	1	715	3.3333333333333335
129	302.7577	1	721	3.3333333333333335
130	302.7976	7	436	23.333333333333332
131	302.8736	9	334	30.0
132	303.1929	3	645	10.0
133	303.2084	12	205	40.0
134	303.2458	9	335	30.0
135	303.6402	7	437	23.333333333333332
136	303.9461	8	370	26.666666666666668
137	304.3991	2	694	6.666666666666667
138	304.6693	4	587	13.333333333333334
139	304.7115	13	171	43.333333333333336
140	305.9293	10	282	33.333333333333336
141	308.1391	9	336	30.0
142	309.0376	10	295	33.333333333333336
143	309.1536	8	390	26.666666666666668
144	309.7477	9	337	30.0
145	310.2588	3	654	10.0
146	310.4049	8	391	26.666666666666668
147	310.7846	3	641	10.0
148	311.3611	11	247	36.666666666666664
149	312.2521	17	68	56.666666666666664
150	312.3921	13	178	43.333333333333336
151	312.9334	17	69	56.666666666666664
152	313.4218	17	70	56.666666666666664
153	313.472	22	15	73.33333333333333
154	313.8335	19	44	63.333333333333336
155	313.968	17	71	56.666666666666664
156	314.7827	3	655	10.0
157	315.5906	1	716	3.3333333333333335
158	316.7571	9	338	30.0
159	316.8634	13	179	43.333333333333336
160	316.9865	7	423	23.333333333333332
161	318.7369	4	588	13.333333333333334
162	319.2358	3	656	10.0
163	319.3061	3	657	10.0
164	319.7646	1	717	3.3333333333333335
165	320.0688	3	658	10.0
166	321.5877	10	296	33.333333333333336
167	321.6618	11	248	36.666666666666664
168	321.7915	12	206	40.0
169	327.0855	16	92	53.333333333333336
170	327.3437	17	72	56.666666666666664
171	327.5622	1	727	3.3333333333333335
172	327.7566	17	73	56.666666666666664
173	328.5016	3	642	10.0
174	328.7472	21	20	70.0
175	328.9981	17	74	56.666666666666664
176	329.4992	14	146	46.666666666666664
177	330.1407	10	297	33.333333333333336
178	330.5005	17	75	56.666666666666664
179	330.6449	17	76	56.666666666666664
180	336.0105	3	659	10.0
181	336.0279	2	695	6.666666666666667
182	336.6706	1	718	3.3333333333333335
183	337.0279	6	492	20.0
184	337.1683	9	339	30.0
185	337.4077	1	728	3.3333333333333335
186	337.4899	1	729	3.3333333333333335
187	337.5582	3	660	10.0
188	337.5606	2	696	6.666666666666667
189	337.6436	3	661	10.0
190	337.7146	21	21	70.0
191	339.0209	23	11	76.66666666666667
192	340.7273	17	77	56.666666666666664
193	340.971	16	93	53.333333333333336
194	341.9841	6	493	20.0
195	342.0571	7	438	23.333333333333332
196	342.8509	2	697	6.666666666666667
197	343.7144	8	392	26.666666666666668
198	344.7861	15	105	50.0
199	345.3094	4	598	13.333333333333334
200	345.4736	6	494	20.0
201	345.5085	9	319	30.0
202	345.792	10	298	33.333333333333336
203	345.8936	8	393	26.666666666666668
204	345.9988	8	394	26.666666666666668
205	346.8421	4	599	13.333333333333334
206	347.0281	20	29	66.66666666666667
207	347.0676	21	22	70.0
208	347.1402	6	495	20.0
209	347.4926	5	547	16.666666666666668
210	347.8219	3	662	10.0
211	348.8173	4	600	13.333333333333334
212	348.8258	6	496	20.0
213	349.449	6	497	20.0
214	349.5235	8	395	26.666666666666668
215	349.6276	8	396	26.666666666666668
216	349.7771	3	663	10.0
217	350.1669	4	601	13.333333333333334
218	350.5839	6	498	20.0
219	350.7416	3	664	10.0
220	351.1655	5	548	16.666666666666668
221	351.4823	2	698	6.666666666666667
222	351.6027	3	665	10.0
223	351.6794	4	602	13.333333333333334
224	351.7307	1	730	3.3333333333333335
225	353.3004	2	699	6.666666666666667
226	353.92	1	731	3.3333333333333335
227	354.3499	2	700	6.666666666666667
228	354.5044	1	732	3.3333333333333335
229	354.6212	1	719	3.3333333333333335
230	354.9091	3	666	10.0
