	Longueur d'onde (nm)	Intensité	Numéro	Intensité normalisée
0	220.3534	10	9	20.0
1	252.669	8	30	16.0
2	257.66	8	31	16.0
3	260.83799999999997	2	48	4.0
4	263.4256	4	41	8.0
5	284.0557	6	36	12.0
6	288.73	3	45	6.0
7	291.4442	3	46	6.0
8	294.743	2	49	4.0
9	294.853	3	47	6.0
10	298.6876	4	42	8.0
11	301.639	10	10	20.0
12	371.3982	10	11	20.0
13	411.07599999999996	5	39	10.0
14	411.335	4	43	8.0
15	415.282	10	12	20.0
16	424.214	9	28	18.0
17	424.49199999999996	20	5	40.0
18	429.38199999999995	7	33	14.0
19	429.665	6	37	12.0
20	435.274	10	13	20.0
21	438.64599999999996	20	6	40.0
22	457.9051	10	14	20.0
23	458.227	10	15	20.0
24	504.25800000000004	50	1	100.0
25	507.05800000000005	10	16	20.0
26	507.45300000000003	10	17	20.0
27	511.164	10	18	20.0
28	536.764	10	19	20.0
29	537.2099	10	20	20.0
30	554.425	10	21	20.0
31	560.885	20	7	40.0
32	600.9580000000001	9	29	18.0
33	604.117	8	32	16.0
34	607.5740000000001	40	3	80.0
35	608.1409	40	4	80.0
36	615.989	10	22	20.0
37	666.02	50	2	100.0
38	719.36	20	8	40.0
39	755.8969999999999	10	23	20.0
40	763.2560000000001	10	24	20.0
41	773.296	4	44	8.0
42	815.691	2	50	4.0
43	833.554	6	38	12.0
44	839.568	10	25	20.0
45	854.495	7	34	14.0
46	870.99	7	35	14.0
47	871.939	5	40	10.0
48	905.082	10	26	20.0
49	906.3430000000001	10	27	20.0
50	924.528	2	51	4.0
