	Longueur d'onde (nm)	Intensité	Numéro	Intensité normalisée	Qualité
0	216.22617	50	39	16.666666666666668	
1	218.23368	50	40	16.666666666666668	
2	221.21419	50	41	16.666666666666668	
3	223.15907	100	14	33.333333333333336	
4	229.65164	200	4	66.66666666666667	
5	235.13469	50	42	16.666666666666668	
6	236.05341	270	2	90.0	
7	236.23313	50	43	16.666666666666668	
8	236.79664	75	28	25.0	
9	237.21574	60	34	20.0	
10	238.831	50	44	16.666666666666668	
11	241.47305	60	35	20.0	
12	241.87236	75	29	25.0	
13	242.44764	75	30	25.0	
14	242.68671	100	15	33.333333333333336	
15	243.09254	100	16	33.333333333333336	
16	243.31025	100	17	33.333333333333336	
17	243.5321	100	18	33.333333333333336	
18	244.61888	150	7	50.0	
19	244.67132	75	31	25.0	
20	244.81588	80	25	26.666666666666668	
21	245.72572	100	19	33.333333333333336	
22	245.7734	60	36	20.0	
23	245.77912	60	37	20.0	
24	246.92517	150	8	50.0	
25	247.00064	80	26	26.666666666666668	
26	247.11516	100	20	33.333333333333336	
27	247.2502	50	45	16.666666666666668	
28	248.6526	250	3	83.33333333333333	
29	248.89146	300	1	100.0	
30	248.96028	75	32	25.0	
31	249.87769	200	5	66.66666666666667	
32	250.57293	150	9	50.0	
33	251.44736	50	46	16.666666666666668	
34	253.46005	80	27	26.666666666666668	
35	253.93304	50	47	16.666666666666668	
36	255.18452	150	10	50.0	
37	256.55045	150	11	50.0	
38	256.95444	100	21	33.333333333333336	
39	259.32363	60	38	20.0	
40	262.82406	50	48	16.666666666666668	
41	263.5933	70	33	23.333333333333332	
42	265.87201	150	12	50.0	
43	277.66595	150	13	50.0	
44	278.77527	100	22	33.333333333333336	
45	280.04565	30	51	10.0	
46	280.07557	20	52	6.666666666666667	
47	280.73766	50	49	16.666666666666668	
48	285.45776	200	6	66.66666666666667	
49	287.12159	100	23	33.333333333333336	
50	287.78878	100	24	33.333333333333336	
51	298.063	50	50	16.666666666666668	
