	Longueur d'onde (nm)	Intensité	Numéro	Intensité normalisée
0	200.8211	4	405	0.0044444444444444444
1	202.3773	5	380	0.005555555555555556
2	202.6233	4	406	0.0044444444444444444
3	203.0287	10	343	0.011111111111111112
4	203.0716	15	311	0.016666666666666666
5	203.3906	50	228	0.05555555555555555
6	204.0485	40	265	0.044444444444444446
7	204.2226	300	112	0.3333333333333333
8	205.0379	50	229	0.05555555555555555
9	205.2213	300	113	0.3333333333333333
10	205.2798	500	83	0.5555555555555556
11	205.96	3	417	0.0033333333333333335
12	206.458	10	344	0.011111111111111112
13	206.5425	50	230	0.05555555555555555
14	206.892	2000	35	2.2222222222222223
15	207.1503	1000	52	1.1111111111111112
16	207.3236	100	178	0.1111111111111111
17	207.4225	40	266	0.044444444444444446
18	207.5131	50	231	0.05555555555555555
19	207.5954	10000	8	11.11111111111111
20	208.4552	45	263	0.05
21	208.9414	30	275	0.03333333333333333
22	209.0287	1000	53	1.1111111111111112
23	209.0803	100	179	0.1111111111111111
24	209.2925	100	180	0.1111111111111111
25	209.3685	10	345	0.011111111111111112
26	209.6355	150	161	0.16666666666666666
27	210.0894	1	501	0.0011111111111111111
28	210.2678	4	407	0.0044444444444444444
29	210.80599999999998	200	142	0.2222222222222222
30	211.6499	300	114	0.3333333333333333
31	211.8754	20	299	0.022222222222222223
32	211.9056	1	502	0.0011111111111111111
33	212.0743	15	312	0.016666666666666666
34	212.4398	2	457	0.0022222222222222222
35	212.5247	1000	54	1.1111111111111112
36	212.5507	30	276	0.03333333333333333
37	212.5923	60	225	0.06666666666666667
38	212.6958	150	162	0.16666666666666666
39	212.8416	3	418	0.0033333333333333335
40	212.9825	400	96	0.4444444444444444
41	213.44799999999998	40	267	0.044444444444444446
42	213.7927	1	503	0.0011111111111111111
43	213.9849	15	313	0.016666666666666666
44	214.204	50	232	0.05555555555555555
45	214.3095	200	143	0.2222222222222222
46	214.38299999999998	30000	3	33.333333333333336
47	214.7918	25	283	0.027777777777777776
48	215.3074	1	504	0.0011111111111111111
49	216.4969	3	419	0.0033333333333333335
50	217.40900000000002	15	314	0.016666666666666666
51	217.7775	1	505	0.0011111111111111111
52	217.9377	80	195	0.08888888888888889
53	218.5836	4	408	0.0044444444444444444
54	218.824	5	381	0.005555555555555556
55	219.03599999999997	200	144	0.2222222222222222
56	219.7988	600	80	0.6666666666666666
57	219.8262	600	81	0.6666666666666666
