	Longueur d'onde (nm)	Intensité	Numéro	Intensité normalisée	Qualité
0	233.49699	120	22	15.384615384615385	
1	234.2849	190	10	24.358974358974358	
2	235.79162	170	13	21.794871794871796	
3	237.56345	80	30	10.256410256410257	
4	239.67106	95	27	12.179487179487179	
5	240.27195	780	1	100.0	
6	240.79222	150	15	19.23076923076923	
7	241.48261	55	37	7.051282051282051	
8	245.55314	180	11	23.076923076923077	
9	245.64386	150	16	19.23076923076923	
10	245.6569	370	3	47.43589743589744	
11	247.89239	280	7	35.8974358974359	
12	248.11133	28	48	3.58974358974359	
13	249.36936	65	34	8.333333333333334	
14	249.44789	45	39	5.769230769230769	
15	249.56825	85	29	10.897435897435898	
16	249.8415	140	18	17.94871794871795	
17	249.85709	140	19	17.94871794871795	
18	250.70124	260	8	33.333333333333336	
19	251.33218	110	23	14.102564102564102	
20	251.73174	110	24	14.102564102564102	
21	253.55896	150	17	19.23076923076923	
22	254.32494	65	35	8.333333333333334	
23	265.62445	28	49	3.58974358974359	
24	266.11705	23	51	2.948717948717949	
25	266.16092	330	4	42.30769230769231	
26	266.7389	30	47	3.8461538461538463	
27	267.87551	690	2	88.46153846153847	
28	268.74942	28	50	3.58974358974359	
29	269.21136	330	5	42.30769230769231	
30	271.24049	200	9	25.641025641025642	
31	272.54617	140	20	17.94871794871795	
32	273.43467	310	6	39.743589743589745	
33	274.79704	35	41	4.487179487179487	
34	275.24455	75	31	9.615384615384615	
35	275.27612	75	32	9.615384615384615	
36	276.5435	35	42	4.487179487179487	
37	276.89208	90	28	11.538461538461538	
38	277.83889	100	26	12.820512820512821	
39	278.78201	110	25	14.102564102564102	
40	280.67372	35	43	4.487179487179487	
41	284.16718	35	44	4.487179487179487	
42	288.21096	55	38	7.051282051282051	
43	292.75341	35	45	4.487179487179487	
44	294.56593	180	12	23.076923076923077	
45	296.34022	18	52	2.3076923076923075	
46	296.55573	170	14	21.794871794871796	
47	297.6584	140	21	17.94871794871795	
48	297.72248	45	40	5.769230769230769	
49	297.99449	75	33	9.615384615384615	
50	299.16153	35	46	4.487179487179487	
51	317.70491	60	36	7.6923076923076925	
