	Longueur d'onde (nm)	Intensité	Numéro	Intensité normalisée
0	200.0514	8	318	24.242424242424242
1	200.157	6	377	18.181818181818183
2	200.1985	10	250	30.303030303030305
3	200.2278	9	286	27.272727272727273
4	200.354	7	349	21.21212121212121
5	200.4956	1	530	3.0303030303030303
6	200.6367	6	378	18.181818181818183
7	200.6754	8	319	24.242424242424242
8	200.7758	5	411	15.151515151515152
9	200.8375	6	379	18.181818181818183
10	201.2401	4	441	12.121212121212121
11	201.4658	1	531	3.0303030303030303
12	203.171	1	532	3.0303030303030303
13	204.6942	2	503	6.0606060606060606
14	205.7764	1	533	3.0303030303030303
15	207.3184	1	534	3.0303030303030303
16	209.2701	1	535	3.0303030303030303
17	210.9967	1	536	3.0303030303030303
18	211.1616	1	537	3.0303030303030303
19	211.3933	1	538	3.0303030303030303
20	211.69099999999997	2	504	6.0606060606060606
21	211.8614	5	412	15.151515151515152
22	211.9072	1	539	3.0303030303030303
23	211.9987	3	478	9.090909090909092
24	212.2146	1	540	3.0303030303030303
25	212.2546	9	287	27.272727272727273
26	212.3342	9	288	27.272727272727273
27	212.4345	4	442	12.121212121212121
28	212.4618	5	413	15.151515151515152
29	212.5972	4	443	12.121212121212121
30	212.6039	4	444	12.121212121212121
31	212.74400000000003	2	505	6.0606060606060606
32	212.8146	1	541	3.0303030303030303
33	212.9545	1	542	3.0303030303030303
34	213.3318	1	543	3.0303030303030303
35	213.6443	4	445	12.121212121212121
36	213.7799	1	544	3.0303030303030303
37	214.2266	4	446	12.121212121212121
38	214.2822	2	506	6.0606060606060606
39	214.2915	1	545	3.0303030303030303
40	214.3336	8	320	24.242424242424242
41	214.4054	3	479	9.090909090909092
42	214.6072	2	507	6.0606060606060606
43	214.8707	3	480	9.090909090909092
44	214.9759	1	546	3.0303030303030303
45	215.2228	4	447	12.121212121212121
46	215.9158	7	350	21.21212121212121
47	216.0697	8	321	24.242424242424242
48	216.2111	3	481	9.090909090909092
49	216.2352	1	547	3.0303030303030303
50	216.5275	3	482	9.090909090909092
51	216.554	7	351	21.21212121212121
52	216.9718	2	508	6.0606060606060606
53	217.0506	1	548	3.0303030303030303
54	217.1155	3	483	9.090909090909092
55	217.3004	7	352	21.21212121212121
56	217.655	1	549	3.0303030303030303
57	217.7808	4	448	12.121212121212121
58	217.8069	8	322	24.242424242424242
59	218.03599999999997	4	449	12.121212121212121
60	218.5932	5	414	15.151515151515152
61	218.7264	11	227	33.333333333333336
62	218.8513	10	251	30.303030303030305
63	219.0593	9	289	27.272727272727273
64	219.2372	9	290	27.272727272727273
65	219.7167	1	550	3.0303030303030303
66	219.80900000000003	7	353	21.21212121212121
67	220.3773	1	551	3.0303030303030303
68	220.5627	5	415	15.151515151515152
69	221.38	5	416	15.151515151515152
70	223.6766	14	154	42.42424242424242
71	223.6766	14	155	42.42424242424242
72	226.1631	2	509	6.0606060606060606
73	226.8866	3	484	9.090909090909092
74	226.8866	3	485	9.090909090909092
75	227.3873	1	552	3.0303030303030303
76	227.7858	1	553	3.0303030303030303
77	227.8209	7	354	21.21212121212121
78	227.9516	5	417	15.151515151515152
79	228.0448	7	355	21.21212121212121
80	228.1997	1	554	3.0303030303030303
81	228.1997	1	555	3.0303030303030303
82	228.4537	3	486	9.090909090909092
83	229.7343	1	556	3.0303030303030303
84	229.9377	1	557	3.0303030303030303
85	230.1839	2	510	6.0606060606060606
86	230.283	1	558	3.0303030303030303
87	230.4541	1	559	3.0303030303030303
88	230.6173	1	560	3.0303030303030303
89	231.9048	1	561	3.0303030303030303
90	232.0155	1	562	3.0303030303030303
91	233.2493	10	252	30.303030303030305
92	233.4037	5	418	15.151515151515152
93	233.4037	5	419	15.151515151515152
94	233.4746	6	380	18.181818181818183
95	233.627	12	205	36.36363636363637
96	235.7751	10	253	30.303030303030305
97	236.1151	9	291	27.272727272727273
98	236.2727	7	356	21.21212121212121
99	237.4363	1	563	3.0303030303030303
100	237.4363	1	564	3.0303030303030303
101	238.4435	1	565	3.0303030303030303
102	241.605	4	450	12.121212121212121
