	Longueur d'onde (nm)	Intensité	Numéro	Intensité normalisée
0	214.18	10	53	10.0
1	222.515	6	56	6.0
2	248.046	8	55	8.0
3	252.8535	15	26	15.0
4	256.7754	10	54	10.0
5	265.655	12	40	12.0
6	296.61	12	43	12.0
7	298.0962	15	27	15.0
8	303.401	12	44	12.0
9	304.0669	12	41	12.0
10	324.128	20	10	20.0
11	349.846	15	28	15.0
12	352.0474	12	45	12.0
13	385.022	20	11	20.0
14	413.36300000000006	20	12	20.0
15	414.05400000000003	15	29	15.0
16	419.517	15	30	15.0
17	421.907	20	13	20.0
18	431.43199999999996	20	14	20.0
19	434.483	12	46	12.0
20	441.142	12	42	12.0
21	444.648	12	47	12.0
22	450.69199999999995	12	48	12.0
23	451.45	15	31	15.0
24	459.69	30	4	30.0
25	459.909	20	15	20.0
26	460.477	15	32	15.0
27	464.7316	30	5	30.0
28	467.5745	20	16	20.0
29	471.126	40	3	40.0
30	473.54400000000004	12	49	12.0
31	475.781	20	17	20.0
32	476.536	20	18	20.0
33	476.691	12	50	12.0
34	478.403	30	6	30.0
35	480.20099999999996	20	19	20.0
36	483.282	20	20	20.0
37	487.724	20	21	20.0
38	494.74	15	33	15.0
39	504.45599999999996	15	34	15.0
40	516.632	12	51	12.0
41	517.655	15	35	15.0
42	523.894	20	22	20.0
43	535.424	20	23	20.0
44	546.408	15	36	15.0
45	556.813	15	37	15.0
46	563.975	30	7	30.0
47	589.509	15	38	15.0
48	600.521	100	1	100.0
49	605.3411	20	24	20.0
50	607.9797	30	8	30.0
51	613.004	50	2	50.0
52	615.4945	20	25	20.0
53	630.2764	12	52	12.0
54	664.7439999999999	30	9	30.0
55	668.801	15	39	15.0
56	680.6669999999999	6	57	6.0
