	Longueur d'onde (nm)	Intensité	Numéro	Intensité normalisée	Qualité
0	303.87	220	18	48.888888888888886	
1	304.13	220	19	48.888888888888886	
2	407.02	285	8	63.333333333333336	
3	417.53	360	4	80.0	
4	418.09	450	1	100.0	
5	438.29	285	9	63.333333333333336	
6	444.6	285	10	63.333333333333336	
7	444.92	220	20	48.888888888888886	
8	446.76	285	11	63.333333333333336	
9	484.06	285	12	63.333333333333336	
10	484.5	360	5	80.0	
11	522.75	450	2	100.0	
12	530.54	360	6	80.0	
13	552.24	285	13	63.333333333333336	
14	556.69	285	14	63.333333333333336	
15	586.63	285	15	63.333333333333336	
16	605.6	450	3	100.0	
17	644.42	360	7	80.0	
18	649.05	285	16	63.333333333333336	
19	653.5	285	17	63.333333333333336	
