	Longueur d'onde (nm)	Intensité	Numéro	Intensité normalisée
0	566.956	1000	1	100.0
1	205.865	50	60	5.0
2	205.90099999999998	50	66	5.0
3	207.202	200	28	20.0
4	207.27	200	29	20.0
5	213.399	10	108	1.0
6	213.64	30	73	3.0
7	213.65599999999998	50	61	5.0
8	233.44	30	80	3.0
9	233.46099999999998	30	81	3.0
10	234.42	10	122	1.0
11	234.954	10	109	1.0
12	235.017	20	94	2.0
13	235.30900000000003	20	85	2.0
14	235.63	100	40	10.0
15	235.718	30	74	3.0
16	235.797	50	62	5.0
17	236.02	10	110	1.0
18	236.697	30	82	3.0
19	237.426	20	95	2.0
20	242.845	10	111	1.0
21	268.221	10	112	1.0
22	288.751	10	113	1.0
23	290.428	300	20	30.0
24	290.569	500	11	50.0
25	302.155	20	86	2.0
26	303.0	100	41	10.0
27	304.157	20	87	2.0
28	304.219	30	75	3.0
29	304.369	100	42	10.0
30	304.385	10	114	1.0
31	304.577	10	115	1.0
32	304.83	50	63	5.0
33	305.318	150	32	15.0
34	318.897	150	36	15.0
35	319.225	50	67	5.0
36	319.309	150	37	15.0
37	319.421	50	68	5.0
38	319.469	50	69	5.0
39	319.541	100	54	10.0
40	319.95099999999996	200	30	20.0
41	320.249	20	96	2.0
42	320.387	100	43	10.0
43	321.003	200	22	20.0
44	321.466	75	59	7.5
45	321.79900000000004	15	99	1.5
46	322.04400000000004	10	123	1.0
47	322.301	20	97	2.0
48	333.314	300	21	30.0
49	333.98199999999997	500	12	50.0
50	385.366	100	44	10.0
51	385.602	500	6	50.0
52	386.26	200	23	20.0
53	395.574	10	116	1.0
54	397.746	10	117	1.0
55	399.17699999999996	15	100	1.5
56	399.801	10	118	1.0
57	407.545	20	88	2.0
58	407.67800000000005	15	101	1.5
59	412.80699999999996	300	17	30.0
60	413.089	500	7	50.0
61	418.335	10	119	1.0
62	419.07199999999995	100	45	10.0
63	419.81300000000005	50	70	5.0
64	462.142	100	55	10.0
65	462.17199999999997	150	38	15.0
66	488.32	15	102	1.5
67	490.699	20	89	2.0
68	493.28	20	90	2.0
69	504.103	1000	2	100.0
70	505.598	1000	3	100.0
71	518.19	100	56	10.0
72	518.525	100	46	10.0
73	519.286	200	24	20.0
74	520.241	500	8	50.0
75	529.519	30	76	3.0
76	540.534	100	47	10.0
77	541.724	15	103	1.5
78	542.8919999999999	15	104	1.5
79	543.289	15	105	1.5
80	543.862	100	48	10.0
81	544.726	20	91	2.0
82	545.4490000000001	15	106	1.5
83	545.645	100	49	10.0
84	546.643	500	9	50.0
85	546.687	500	10	50.0
86	546.9209999999999	100	50	10.0
87	549.645	200	25	20.0
88	554.0740000000001	100	51	10.0
89	557.6659999999999	150	33	15.0
90	563.297	100	52	10.0
91	563.948	200	26	20.0
92	566.066	150	34	15.0
93	568.144	30	77	3.0
94	568.881	300	18	30.0
95	570.137	200	27	20.0
96	570.637	100	53	10.0
97	578.573	30	78	3.0
98	579.49	30	79	3.0
99	580.047	150	35	15.0
100	580.674	200	31	20.0
101	582.78	30	83	3.0
102	584.613	50	71	5.0
103	586.748	10	124	1.0
104	586.84	300	19	30.0
105	591.5219999999999	150	39	15.0
106	595.756	500	13	50.0
107	597.893	500	14	50.0
108	606.745	10	120	1.0
109	608.006	20	92	2.0
110	608.6669999999999	10	121	1.0
111	634.71	1000	4	100.0
112	637.136	1000	5	100.0
113	666.052	50	64	5.0
114	666.5	15	107	1.5
115	667.188	100	57	10.0
116	669.938	20	98	2.0
117	671.704	50	65	5.0
118	675.028	20	93	2.0
119	681.845	30	84	3.0
120	682.982	50	72	5.0
121	784.88	400	16	40.0
122	784.972	500	15	50.0
123	941.2719999999999	100	58	10.0
