	Longueur d'onde (nm)	Intensité	Numéro	Intensité normalisée	Qualité
0	210.623	15	38	1.5	
1	211.644	20	32	2.0	
2	226.622	10	39	1.0	
3	249.677	100	11	10.0	
4	252.934	80	15	8.0	
5	254.323	500	7	50.0	
6	254.481	60	18	6.0	
7	254.792	50	21	5.0	
8	255.861	50	22	5.0	
9	256.701	50	23	5.0	
10	257.506	30	29	3.0	
11	257.628	80	16	8.0	
12	257.786	40	26	4.0	
13	259.719	20	33	2.0	
14	260.999	1000	1	100.0	
15	263.491	200	9	20.0	
16	264.45	40	27	4.0	
17	264.701	1000	2	100.0	
18	265.235	100	12	10.0	
19	268.119	80	17	8.0	
20	270.296	40	28	4.0	
21	270.79	100	13	10.0	
22	273.683	60	19	6.0	
23	273.883	20	34	2.0	
24	277.731	20	35	2.0	
25	279.578	200	10	20.0	
26	280.965	50	24	5.0	
27	281.161	500	8	50.0	
28	282.135	100	14	10.0	
29	283.118	60	20	6.0	
30	284.038	50	25	5.0	
31	284.639	10	40	1.0	
32	288.92	30	30	3.0	
33	292.334	20	36	2.0	
34	303.79	20	37	2.0	
35	319.52	800	5	80.0	
36	321.202	1000	3	100.0	
37	323.702	1000	4	100.0	
38	329.884	30	31	3.0	
39	427.497	800	6	80.0	
