	Longueur d'onde (nm)	Intensité	Numéro	Intensité normalisée	Qualité
0	237.306	900	44	18.0	
1	238.782	510	73	10.2	
2	240.163	490	77	9.8	
3	243.647	660	56	13.2	
4	243.869	1400	23	28.0	
5	256.782	600	59	12.0	
6	257.496	300	97	6.0	
7	257.61	190	127	3.8	
8	257.924	1600	16	32.0	
9	259.112	300	98	6.0	
10	259.285	300	99	6.0	
11	260.572	300	100	6.0	
12	262.192	100	152	2.0	
13	262.486	290	104	5.8	
14	262.797	570	61	11.4	
15	264.189	600	60	12.0	
16	264.848	560	64	11.2	
17	264.966	1800	14	36.0	
18	265.77	870	47	17.4	
19	266.11	1700	15	34.0	
20	271.1574	2000	10	40.0	
21	284.1172	1600	17	32.0	
22	284.6154	970	40	19.4	
23	285.8287	2700	3	54.0	
24	286.1	1400	24	28.0	
25	286.8817	2300	5	46.0	
26	289.5407	2600	4	52.0	
27	291.9887	1500	20	30.0	
28	294.2112	2200	7	44.0	
29	294.6675	540	67	10.8	
30	296.7288	2800	2	56.0	
31	297.367	1900	12	38.0	
32	297.59	5000	1	100.0	
33	299.704	1600	18	32.0	
34	301.2021	900	45	18.0	
35	301.7581	2000	11	40.0	
36	302.331	970	41	19.4	
37	304.6998	2100	8	42.0	
38	305.246	540	68	10.8	
39	306.316	560	65	11.2	
40	307.356	1200	29	24.0	
41	310.444	730	52	14.6	
42	313.258	300	101	6.0	
43	316.0659	650	57	13.0	
44	318.983	290	105	5.8	
45	321.1213	370	85	7.4	
46	325.6798	1100	34	22.0	
47	326.8773	400	83	8.0	
48	328.2634	430	82	8.6	
49	332.1923	290	106	5.8	
50	332.3106	510	74	10.2	
51	332.9223	790	51	15.8	
52	335.2102	910	43	18.2	
53	336.2793	960	42	19.2	
54	337.4101	510	75	10.2	
55	340.6787	1200	30	24.0	
56	341.9627	110	150	2.2	
57	344.2246	360	87	7.2	
58	345.5116	540	69	10.8	
59	345.6883	250	110	5.0	
60	348.0317	310	94	6.2	
61	348.3672	270	107	5.4	
62	348.6108	220	121	4.4	
63	352.1112	470	80	9.4	
64	355.2187	520	72	10.4	
65	361.1782	490	78	9.8	
66	361.7565	440	81	8.8	
67	364.4465	240	113	4.8	
68	367.9266	170	136	3.4	
69	372.5657	270	108	5.4	
70	379.722	230	117	4.6	
71	380.092	180	129	3.6	
72	390.5672	240	114	4.8	
73	391.8534	180	130	3.6	
74	393.1487	230	118	4.6	
75	394.798	340	88	6.8	
76	396.9222	320	90	6.4	
77	397.5936	250	111	5.0	
78	398.1766	240	115	4.8	
79	400.6519	310	95	6.2	
80	401.1691	180	131	3.6	
81	402.973	220	122	4.4	
82	404.7168	400	84	8.0	
83	404.8882	230	119	4.6	
84	407.3474	130	147	2.6	
85	410.1045	320	91	6.4	
86	412.7319	320	92	6.4	
87	416.3551	250	112	5.0	
88	416.977	540	70	10.8	
89	417.9286	300	102	6.0	
90	421.1312	140	143	2.8	
91	422.5728	340	89	6.8	
92	424.6469	150	140	3.0	
93	425.1148	240	116	4.8	
94	426.1112	570	62	11.4	
95	426.436	170	137	3.4	
96	427.3429	300	103	6.0	
97	428.5854	370	86	7.4	
98	432.0898	160	139	3.2	
99	436.1285	150	141	3.0	
100	436.4	650	58	13.0	
101	437.7119	170	138	3.4	
102	438.5102	310	96	6.2	
103	439.5997	220	123	4.4	
104	447.863	830	48	16.6	
105	453.707	260	109	5.2	
106	455.7784	480	79	9.6	
107	463.0623	540	71	10.8	
108	464.1125	680	54	13.6	
109	465.437	1100	35	22.0	
110	465.437	1100	36	22.0	
111	468.6905	1310	26	26.2	
112	469.6382	560	66	11.2	
113	470.6535	670	55	13.4	
114	476.6055	1300	27	26.0	
115	477.1557	800	50	16.0	
116	478.4867	510	76	10.2	
117	482.7138	900	46	18.0	
118	483.1277	1600	19	32.0	
119	484.2895	1000	38	20.0	
120	486.5119	1000	39	20.0	
121	486.6235	2300	6	46.0	
122	488.5221	1200	31	24.0	
123	490.4437	1300	28	26.0	
124	496.1885	320	93	6.4	
125	500.0818	810	49	16.2	
126	544.9838	1400	25	28.0	
127	548.795	1100	37	22.0	
128	557.6353	2100	9	42.0	
129	564.9257	1500	21	30.0	
130	566.6199	1200	32	24.0	
131	570.8118	1900	13	38.0	
132	575.585	1500	22	30.0	
133	593.6143	730	53	14.6	
134	597.4674	1200	33	24.0	
135	636.7127	570	63	11.4	
136	664.858	230	120	4.6	
137	701.606	150	142	3.0	
138	703.913	180	132	3.6	
139	723.662	200	124	4.0	
140	728.926	200	125	4.0	
141	744.539	180	133	3.6	
142	746.098	180	134	3.6	
143	746.875	200	126	4.0	
144	748.126	140	144	2.8	
145	768.861	140	145	2.8	
146	781.679	100	153	2.0	
147	786.161	120	149	2.4	
148	792.169	110	151	2.2	
149	794.314	140	146	2.8	
150	795.034	90	155	1.8	
151	805.614	50	164	1.0	
152	812.244	80	156	1.6	
153	813.039	60	161	1.2	
154	815.447	60	162	1.2	
155	818.644	130	148	2.6	
156	819.094	180	135	3.6	
157	827.353	70	158	1.4	
158	837.212	100	154	2.0	
159	853.568	70	159	1.4	
160	857.578	80	157	1.6	
161	860.463	60	163	1.2	
162	862.168	50	165	1.0	
163	867.295	70	160	1.4	
164	873.381	190	128	3.8	
165	889.792	15	166	0.3	
