	Longueur d'onde (nm)	Intensité	Numéro	Intensité normalisée
0	200.02	3200	959	0.07804878048780488
1	200.11	8400	559	0.2048780487804878
2	200.15	16000	349	0.3902439024390244
3	200.17	14000	373	0.34146341463414637
4	200.48	120000	50	2.926829268292683
5	200.59	8000	575	0.1951219512195122
6	200.69	56000	113	1.3658536585365855
7	200.77	9300	519	0.22682926829268293
8	200.78	950	1513	0.023170731707317073
9	200.94	3100	972	0.07560975609756097
10	200.98	720	1648	0.0175609756097561
11	201.12	2100	1122	0.05121951219512195
12	201.27	14000	374	0.34146341463414637
13	201.28	14000	375	0.34146341463414637
14	201.42	92000	71	2.2439024390243905
15	201.42	28000	223	0.6829268292682927
16	201.49	4100	834	0.1
17	201.5	6900	630	0.16829268292682928
18	201.56	17000	329	0.4146341463414634
19	201.57	2900	999	0.07073170731707316
20	201.58	14000	376	0.34146341463414637
21	201.6	780	1610	0.01902439024390244
22	201.65	3300	946	0.08048780487804878
23	201.65	7200	611	0.17560975609756097
24	201.82	720	1649	0.0175609756097561
25	201.95	1200	1368	0.02926829268292683
26	202.06	1200	1369	0.02926829268292683
27	202.08	5400	714	0.13170731707317074
28	202.27	3200	960	0.07804878048780488
29	202.36	54000	122	1.3170731707317074
30	202.55	7100	619	0.17317073170731706
31	202.89	1800	1179	0.04390243902439024
32	203.14	14000	377	0.34146341463414637
33	203.48	760	1621	0.018536585365853658
34	203.78	23000	269	0.5609756097560976
35	203.93	20000	295	0.4878048780487805
36	204.88	4000	847	0.0975609756097561
37	204.97	750	1627	0.018292682926829267
38	205.13	1900	1165	0.046341463414634146
39	205.24	2500	1044	0.06097560975609756
40	205.48	25000	249	0.6097560975609756
41	205.69	2500	1045	0.06097560975609756
42	205.72	2900	1000	0.07073170731707316
43	205.73	4200	816	0.1024390243902439
44	205.83	5200	731	0.12682926829268293
45	206.2	5100	741	0.12439024390243902
46	206.3	1700	1197	0.041463414634146344
47	206.31	11000	444	0.2682926829268293
48	206.48	750	1628	0.018292682926829267
49	206.58	8200	567	0.2
50	206.68	3300	947	0.08048780487804878
51	206.85	7600	592	0.18536585365853658
52	206.88	24000	256	0.5853658536585366
53	207.08	5000	749	0.12195121951219512
54	207.24	9000	530	0.21951219512195122
55	207.49	11000	445	0.2682926829268293
56	207.51	8900	536	0.21707317073170732
57	207.69	66000	102	1.6097560975609757
58	207.75	5500	709	0.13414634146341464
59	207.78	8500	553	0.2073170731707317
60	208.75	3600	895	0.08780487804878048
61	208.79	3400	930	0.08292682926829269
62	208.85	720	1650	0.0175609756097561
63	209.03	8600	548	0.2097560975609756
64	209.23	1200	1370	0.02926829268292683
65	209.5	1500	1264	0.036585365853658534
66	209.54	2100	1123	0.05121951219512195
67	209.59	2400	1063	0.05853658536585366
68	209.7	1200	1371	0.02926829268292683
69	209.79	700	1663	0.01707317073170732
70	209.81	3300	948	0.08048780487804878
71	209.91	16000	350	0.3902439024390244
72	209.93	960	1507	0.023414634146341463
73	210.12	19000	307	0.4634146341463415
74	210.19	6700	641	0.16341463414634147
75	210.3	700	1664	0.01707317073170732
76	210.35	30000	213	0.7317073170731707
77	210.37	22000	277	0.5365853658536586
78	210.46	3200	961	0.07804878048780488
79	210.74	6300	666	0.15365853658536585
80	210.93	1200	1372	0.02926829268292683
81	210.93	1200	1373	0.02926829268292683
82	211.05	820	1579	0.02
83	211.1	8300	563	0.20243902439024392
84	211.4	10000	475	0.24390243902439024
85	211.43	8000	576	0.1951219512195122
86	211.73	12000	415	0.2926829268292683
87	211.75	3600	896	0.08780487804878048
88	211.84	6400	660	0.15609756097560976
89	211.88	9800	500	0.23902439024390243
90	211.91	13000	393	0.3170731707317073
91	211.95	12000	416	0.2926829268292683
92	212.15	2300	1085	0.05609756097560976
93	212.33	18000	321	0.43902439024390244
94	212.36	2500	1046	0.06097560975609756
95	212.69	6400	661	0.15609756097560976
96	212.74	1700	1198	0.041463414634146344
97	212.82	1700	1199	0.041463414634146344
98	212.95	6200	670	0.15121951219512195
99	213.04	1100	1419	0.026829268292682926
100	213.18	21000	286	0.5121951219512195
101	213.41	14000	378	0.34146341463414637
102	213.41	36000	181	0.8780487804878049
103	213.42	25000	250	0.6097560975609756
104	213.73	46000	146	1.1219512195121952
105	213.82	20000	296	0.4878048780487805
106	213.98	34000	193	0.8292682926829268
107	214.01	110000	51	2.682926829268293
108	214.17	1100	1420	0.026829268292682926
109	214.2	51000	129	1.2439024390243902
110	214.24	4400	793	0.1073170731707317
111	214.27	1300	1335	0.03170731707317073
112	214.3	19000	308	0.4634146341463415
113	214.37	1700	1200	0.041463414634146344
114	214.41	750	1629	0.018292682926829267
115	214.6	9900	495	0.24146341463414633
116	214.75	1800	1180	0.04390243902439024
117	214.84	16000	351	0.3902439024390244
118	214.94	3600	897	0.08780487804878048
119	215.08	19000	309	0.4634146341463415
120	215.1	16000	352	0.3902439024390244
121	215.18	29000	219	0.7073170731707317
122	215.56	8800	540	0.2146341463414634
123	215.71	2900	1001	0.07073170731707316
124	216.06	1800	1181	0.04390243902439024
125	216.15	5700	698	0.13902439024390245
126	216.37	5700	699	0.13902439024390245
127	216.44	7300	605	0.17804878048780487
128	216.61	5700	700	0.13902439024390245
129	216.62	870	1555	0.021219512195121953
130	216.77	1600	1229	0.03902439024390244
131	216.81	870	1556	0.021219512195121953
132	217.01	9900	496	0.24146341463414633
133	217.18	750	1630	0.018292682926829267
134	217.22	980	1499	0.023902439024390244
135	217.32	2500	1047	0.06097560975609756
136	217.58	1500	1265	0.036585365853658534
137	218.28	2000	1142	0.04878048780487805
138	218.31	960	1508	0.023414634146341463
139	218.49	950	1514	0.023170731707317073
140	218.53	11000	446	0.2682926829268293
141	218.54	2400	1064	0.05853658536585366
142	218.54	4200	817	0.1024390243902439
143	218.59	17000	330	0.4146341463414634
144	218.69	3000	986	0.07317073170731707
145	219.02	3300	949	0.08048780487804878
146	219.05	6600	650	0.16097560975609757
147	219.33	710	1653	0.01731707317073171
148	219.48	3300	950	0.08048780487804878
149	219.51	1200	1374	0.02926829268292683
150	219.57	5700	701	0.13902439024390245
151	219.76	700	1665	0.01707317073170732
152	219.85	9400	517	0.22926829268292684
153	219.94	5100	742	0.12439024390243902
154	219.96	6700	642	0.16341463414634147
155	221.0	4900	759	0.11951219512195121
156	221.03	1600	1230	0.03902439024390244
157	221.58	4200	818	0.1024390243902439
158	221.73	4500	783	0.10975609756097561
159	222.02	3900	853	0.0951219512195122
160	223.0	5300	724	0.12926829268292683
161	225.11	1000	1467	0.024390243902439025
162	225.16	1600	1231	0.03902439024390244
163	225.3	910	1535	0.02219512195121951
164	225.7	1300	1336	0.03170731707317073
165	225.88	6400	662	0.15609756097560976
166	226.11	1700	1201	0.041463414634146344
