	Longueur d'onde (nm)	Intensité	Numéro	Intensité normalisée	Qualité
0	202.114	1	713	0.05	
1	207.632	1	714	0.05	
2	211.721	1	715	0.05	
3	212.061	1	716	0.05	
4	212.473	2	576	0.1	
5	212.873	1	717	0.05	
6	213.885	1	718	0.05	
7	215.49	1	719	0.05	
8	216.605	1	720	0.05	
9	216.784	1	721	0.05	
10	217.04	1	722	0.05	
11	217.164	2	577	0.1	
12	217.623	2	578	0.1	
13	219.348	1	723	0.05	
14	219.348	1	724	0.05	
15	220.824	3	504	0.15	
16	221.437	3	505	0.15	
17	221.558	2	579	0.1	
18	222.276	3	506	0.15	
19	222.459	2	580	0.1	
20	222.599	2	581	0.1	
21	223.079	1	725	0.05	
22	223.283	2	582	0.1	
23	223.499	1	726	0.05	
24	223.552	2	583	0.1	
25	223.979	1	727	0.05	
26	224.186	2	584	0.1	
27	224.561	1	728	0.05	
28	224.717	1	729	0.05	
29	224.822	1	730	0.05	
30	224.986	4	471	0.2	
31	225.474	1	731	0.05	
32	225.656	1	732	0.05	
33	225.682	2	585	0.1	
34	225.682	2	586	0.1	
35	225.922	1	733	0.05	
36	226.295	2	587	0.1	
37	226.42	2	588	0.1	
38	226.499	3	507	0.15	
39	226.562	3	508	0.15	
40	226.594	2	589	0.1	
41	226.68	3	509	0.15	
42	226.872	1	734	0.05	
43	227.318	1	735	0.05	
44	227.337	3	510	0.15	
45	228.314	5	424	0.25	
46	228.524	2	590	0.1	
47	228.594	8	385	0.4	
48	228.792	2	591	0.1	
49	229.084	2	592	0.1	
50	229.201	2	593	0.1	
51	229.24	20	274	1.0	
52	229.457	15	316	0.75	
53	229.652	30	237	1.5	
54	229.936	2	594	0.1	
55	229.998	6	402	0.3	
56	230.46	1	736	0.05	
57	230.728	3	511	0.15	
58	230.815	3	512	0.15	
59	231.37	5	425	0.25	
60	231.421	1	737	0.05	
61	231.421	1	738	0.05	
62	231.627	2	595	0.1	
63	231.68	10	349	0.5	
64	231.97	7	397	0.35	
65	233.542	2	596	0.1	
66	234.218	3	513	0.15	
67	234.447	12	337	0.6	
68	235.118	4	472	0.2	
69	235.156	4	473	0.2	
70	235.206	1	739	0.05	
71	235.352	1	740	0.05	
72	235.389	1	741	0.05	
73	235.625	1	742	0.05	
74	235.672	4	474	0.2	
75	236.042	1	743	0.05	
76	236.868	5	426	0.25	
77	236.962	4	475	0.2	
78	238.585	1	744	0.05	
79	238.614	2	597	0.1	
80	238.775	4	476	0.2	
81	239.11	2	598	0.1	
82	239.233	2	599	0.1	
83	239.876	4	477	0.2	
84	240.484	1	745	0.05	
85	240.592	3	514	0.15	
86	240.974	40	216	2.0	
87	241.072	7	398	0.35	
88	242.087	2	600	0.1	
89	242.127	20	275	1.0	
90	242.212	2	601	0.1	
91	242.294	10	350	0.5	
92	242.505	40	217	2.0	
93	243.272	12	338	0.6	
94	243.547	6	403	0.3	
95	243.876	1	746	0.05	
96	244.16	2	602	0.1	
97	244.254	1	747	0.05	
98	244.278	1	748	0.05	
99	246.66	2	603	0.1	
100	246.843	5	427	0.25	
101	247.018	5	428	0.25	
102	247.589	100	117	5.0	
103	247.882	4	478	0.2	
104	247.94	1	749	0.05	
105	248.911	50	177	2.5	
106	249.076	20	276	1.0	
107	249.178	5	429	0.25	
108	251.706	1	750	0.05	
109	252.397	1	751	0.05	
110	252.446	3	515	0.15	
111	252.679	12	339	0.6	
112	252.698	12	340	0.6	
113	253.018	2	604	0.1	
114	253.802	3	516	0.15	
115	255.17	3	517	0.15	
116	255.42	1	752	0.05	
117	256.148	2	605	0.1	
118	257.697	15	317	0.75	
119	258.488	1	753	0.05	
120	259.701	4	479	0.2	
121	259.842	2	606	0.1	
122	260.554	50	178	2.5	
123	260.693	5	430	0.25	
124	260.752	1	754	0.05	
125	262.139	2	607	0.1	
126	262.317	2	608	0.1	
127	262.954	5	431	0.25	
128	263.04	6	404	0.3	
129	263.388	2	609	0.1	
130	264.054	1	755	0.05	
131	264.883	1	756	0.05	
132	265.539	2	610	0.1	
133	265.7	5	432	0.25	
134	265.928	1	757	0.05	
135	266.329	3	518	0.15	
136	266.802	5	433	0.25	
137	267.068	1	758	0.05	
138	267.222	4	480	0.2	
139	268.614	3	519	0.15	
140	269.153	1	759	0.05	
141	270.222	2	611	0.1	
142	270.344	10	351	0.5	
143	271.102	1	760	0.05	
