	Longueur d'onde (nm)	Intensité	Numéro	Intensité normalisée
0	224.3045	350	43	2.6923076923076925
1	241.3913	25	96	0.19230769230769232
2	242.2186	560	39	4.3076923076923075
3	246.0555	60	77	0.46153846153846156
4	273.4827	22	97	0.16923076923076924
5	278.5158	30	89	0.23076923076923078
6	278.5562	12	110	0.09230769230769231
7	280.0099	30	90	0.23076923076923078
8	282.5362	22	98	0.16923076923076924
9	282.6316	45	84	0.34615384615384615
10	285.4416	70	75	0.5384615384615384
11	285.6289	26	94	0.2
12	285.7868	11	111	0.08461538461538462
13	289.7664	18	105	0.13846153846153847
14	289.8793	14	107	0.1076923076923077
15	292.9981	18	104	0.13846153846153847
16	297.3895	18	106	0.13846153846153847
17	298.0553	30	91	0.23076923076923078
18	302.6455	26	95	0.2
19	303.6576	30	92	0.23076923076923078
20	305.5229	60	78	0.46153846153846156
21	308.6853	60	79	0.46153846153846156
22	309.3752	22	99	0.16923076923076924
23	309.5872	95	66	0.7307692307692307
24	311.2029	55	82	0.4230769230769231
25	312.8731	60	80	0.46153846153846156
26	312.993	80	72	0.6153846153846154
27	313.5168	95	67	0.7307692307692307
28	317.3045	110	62	0.8461538461538461
29	317.9415	220	51	1.6923076923076923
30	319.5613	2300	20	17.692307692307693
31	320.0269	2200	21	16.923076923076923
32	320.332	2200	22	16.923076923076923
33	321.668	3560	16	27.384615384615383
34	321.6731	340	44	2.6153846153846154
35	324.2272	6200	9	47.69230769230769
36	328.0909	310	46	2.3846153846153846
37	330.8375	19	103	0.14615384615384616
38	332.7876	4700	11	36.15384615384615
39	336.1986	160	56	1.2307692307692308
40	344.8804	200	54	1.5384615384615385
41	346.7871	110	63	0.8461538461538461
42	349.6079	1700	26	13.076923076923077
43	354.5939	45	85	0.34615384615384615
44	354.9002	3900	14	30.0
45	358.4514	3300	17	25.384615384615383
46	360.0731	10000	3	76.92307692307692
47	360.1915	6200	10	47.69230769230769
48	361.1043	7800	6	60.0
49	362.87	1900	23	14.615384615384615
50	363.3121	7800	7	60.0
51	366.461	3000	18	23.076923076923077
52	366.8481	45	86	0.34615384615384615
53	371.0287	13000	1	100.0
54	374.7551	1200	30	9.23076923076923
55	377.43300000000005	10000	4	76.92307692307692
56	377.6556	1400	28	10.76923076923077
57	378.2262	50	83	0.38461538461538464
58	378.8693	7400	8	56.92307692307692
59	381.8341	1300	29	10.0
60	383.2889	4000	13	30.76923076923077
61	384.805	70	76	0.5384615384615384
62	387.8285	480	40	3.6923076923076925
63	393.0658	240	49	1.8461538461538463
64	395.0349	4400	12	33.84615384615385
65	395.159	150	58	1.1538461538461537
66	398.2592	3600	15	27.692307692307693
67	412.4904	320	45	2.4615384615384617
68	417.7528	8000	5	61.53846153846154
69	419.9273	120	59	0.9230769230769231
70	420.4692	380	42	2.923076923076923
71	423.5727	600	38	4.615384615384615
72	430.962	2800	19	21.53846153846154
73	435.8723	800	36	6.153846153846154
74	437.4933	12000	2	92.3076923076923
75	439.8008	1800	25	13.846153846153847
76	442.2583	890	34	6.846153846153846
77	468.2321	260	47	2.0
78	478.6576	160	57	1.2307692307692308
79	482.3304	190	55	1.4615384615384615
80	485.4861	890	35	6.846153846153846
81	488.1433	20	101	0.15384615384615385
82	488.3682	1900	24	14.615384615384615
83	490.0118	1100	31	8.461538461538462
84	498.2128	120	60	0.9230769230769231
85	508.7418	1100	32	8.461538461538462
86	511.911	210	53	1.6153846153846154
87	512.3209	450	41	3.4615384615384617
88	519.6421	120	61	0.9230769230769231
89	520.0409	960	33	7.384615384615385
90	520.5722	1500	27	11.538461538461538
91	528.9815	60	81	0.46153846153846156
92	532.0782	45	87	0.34615384615384615
93	540.2773	220	52	1.6923076923076923
94	547.3384	90	69	0.6923076923076923
95	548.073	90	70	0.6923076923076923
96	549.7405	240	50	1.8461538461538463
97	550.9894	250	48	1.9230769230769231
98	554.6008	90	71	0.6923076923076923
99	566.2922	740	37	5.6923076923076925
100	572.8886	75	73	0.5769230769230769
101	578.1687	100	65	0.7692307692307693
102	661.3731	95	68	0.7307692307692307
103	679.5415	70	74	0.5384615384615384
104	683.248	14	108	0.1076923076923077
105	685.8221	14	109	0.1076923076923077
106	689.5976	21	100	0.16153846153846155
107	695.1654	10	112	0.07692307692307693
108	726.4159	35	88	0.2692307692307692
109	733.2949	5	113	0.038461538461538464
110	745.0275	29	93	0.2230769230769231
111	788.1878	110	64	0.8461538461538461
112	883.5875	19	102	0.14615384615384616
