	Longueur d'onde (nm)	Intensité	Numéro	Intensité normalisée
0	201.19400000000002	100	19	10.0
1	202.548	500	4	50.0
2	203.93099999999998	60	31	6.0
3	206.2	500	5	50.0
4	206.423	200	15	20.0
5	207.993	50	33	5.0
6	209.99400000000003	300	11	30.0
7	210.218	200	16	20.0
8	212.274	75	28	7.5
9	214.74200000000002	75	29	7.5
10	221.018	60	32	6.0
11	227.315	50	34	5.0
12	250.199	1000	1	100.0
13	252.796	50	35	5.0
14	255.795	1000	2	100.0
15	256.78	50	36	5.0
16	256.798	50	37	5.0
17	280.19599999999997	100	20	10.0
18	290.23	100	21	10.0
19	317.145	100	22	10.0
20	317.223	100	23	10.0
21	319.631	300	12	30.0
22	319.71	100	24	10.0
23	329.94199999999995	50	38	5.0
24	330.601	75	30	7.5
25	380.634	50	39	5.0
26	384.029	100	25	10.0
27	491.162	800	3	80.0
28	492.403	500	6	50.0
29	589.433	500	7	50.0
30	602.118	500	8	50.0
31	610.249	500	9	50.0
32	611.153	100	26	10.0
33	621.461	500	10	50.0
34	747.88	200	17	20.0
35	758.85	300	13	30.0
36	761.29	100	27	10.0
37	773.25	300	14	30.0
38	775.79	200	18	20.0
