	'Longueur d''onde (nm)'	Intensité	Numéro	Intensité normalisée	Intensité normalisée.1					
0	285.2811	16	26	0.02		285.2811	16		5.38e+05	B+
1	285.3013	15	27	0.01875		285.3013	15		5.31e+05	B+
2	289.3618	1	74	0.00125						
3	330.2369	19	22	0.02375		330.2369	19		2.75e+06	A
4	330.2979	18	24	0.0225		330.2979	18		2.73e+06	B+
5	342.6862	6	48	0.0075						
6	342.73	9	36	0.01125		342.73	9		2.8e+07	D
7	348.9	130	9	0.1625		348.90	130		4.2e+07	D
8	350.25	160	6	0.2		350.25	160		8.8e+07	D
9	351.1	130	10	0.1625		351.10	130		1.15e+08	D
10	384.8	5	53	0.00625		384.80	5		2.8e+07	D
11	386.55	130	11	0.1625		386.55	130		5.8e+07	D
12	387.29	19	23	0.02375		387.29	19		1.2e+07	D
13	388.18	420	3	0.525		388.18	420		1.63e+08	D
14	388.57	36	18	0.045		388.57	36		6.2e+07	D
15	390.04	15	28	0.01875		390.04	15		7.7e+07	D
16	391.79	160	7	0.2		391.79	160		6.6e+07	D
17	392.56	85	12	0.10625		392.56	85		4.5e+07	D
18	393.06	15	29	0.01875		393.06	15		2.5e+07	D
19	394.26	32	19	0.04		394.26	32		2.1e+07	D
20	398.03	14	30	0.0175		398.03	14		5.e+06	D
21	399.77	14	31	0.0175		399.77	14		8.e+06	D
22	400.88	27	20	0.03375		400.88	27		1.5e+07	D
23	417.67	82	14	0.1025		417.67	82		3.5e+07	D
24	418.55	150	8	0.1875		418.55	150		4.9e+07	D
25	420.49	46	15	0.0575		420.49	46		2.5e+07	D
26	423.8987	2	66	0.0025		423.8987	2			
27	424.2082	3	61	0.00375		424.2082	3*		5.54e+04	B
						424.2082	3*		3.32e+05	B
28	424.941	1	75	0.00125		424.9410	1			
29	425.25199999999995	2	67	0.0025		425.2520	2		1.84e+05	B
30	425.38	17	25	0.02125		425.38	17		5.e+06	D
31	427.3642	4	58	0.005		427.3642	4		3.91e+05	C
32	427.39	23	21	0.02875		427.39	23		1.6e+07	D
33	427.6787	5	52	0.00625		427.6787	5*		7.8e+04	C
						427.6787	5*		4.69e+05	C
34	428.67	46	16	0.0575		428.67	46		2.8e+07	D
35	428.7838	2	68	0.0025		428.7838	2			
36	429.1006	3	62	0.00375		429.1006	3		2.47e+05	B
37	432.14	6	49	0.0075		432.1400	6			
38	432.4615	7	41	0.00875		432.4615	7*		1.14e+05	B
39						432.4615	7*		6.84e+05	B
40	434.1489	4	59	0.005		434.1489	4		3.26e+05	C+
41	434.4736	5	54	0.00625		434.4736	5		6.50e+05	C+
42	439.0029	8	39	0.01		439.0029	8		9.83e+05	B+
43	439.334	9	35	0.01125		439.3340	9*		1.95e+05	B
						439.3340	9*		1.17e+06	B+
44	441.9885	6	50	0.0075		441.9885	6		2.82e+05	C+
45	442.3246	7	43	0.00875		442.3246	7		5.61e+05	C+
46	443.23	310	4	0.3875		443.23	310		1.4e+07	D
47	449.4177	10	34	0.0125		449.4177	10		1.23e+06	B+
48	449.7658	11	33	0.01375		449.7658	11*		1.46e+06	B+
						449.7658	11*		2.44e+05	B
49	454.1633	7	44	0.00875		454.1633	7		3.76e+05	B
50	454.5186	8	40	0.01		454.5186	8		7.50e+05	B
51	466.48107000000005	1	76	0.00125		466.48107	1		2.08e+06	B+
52	466.85595	2	64	0.0025		466.85595	2*		4.14e+05	B+
						466.85595	2*		2.49e+06	A
53	474.7941	1	77	0.00125		474.79410	1		6.19e+05	B
54	475.18217999999996	2	69	0.0025		475.18218	2		1.23e+06	B
55	497.85414000000003	1	78	0.00125		497.85414	1		4.09e+06	A
56	498.28134000000006	2	70	0.0025		498.28134	2		4.88e+06	A
57	507.12	270	5	0.3375		507.12	270		4.1e+07	D
58	514.8838099999999	1	79	0.00125		514.88381	1		1.14e+06	B+
59	515.34024	2	71	0.0025		515.34024	2		2.27e+06	B+
60	516.25	83	13	0.10375		516.25	83		1.5e+07	D
61	525.64	7	45	0.00875		525.64	7		2.e+06	D
62	562.1	42	17	0.0525		562.10	42		1.4e+07	D
63	568.26333	5	55	0.00625		568.26333	5		1.01e+07	A
64	568.81934	1	80	0.00125		568.81934	1		2.02e+06	A
65	568.8204599999999	9	37	0.01125		568.82046	9		1.21e+07	A
66	574.42	12	32	0.015		574.42	12		4.e+06	D
67	588.995095	80000	1	100.0		588.995095	80000		6.16e+07	AA
68	589.592424	40000	2	50.0		589.592424	40000		6.14e+07	AA
